Ticker,Beta
MTDR,3.552022
DVN,2.359958
TSLA,2.247148
HAL,2.191908
EXTR,2.111648
FCX,2.041825
ETSY,2.017974
CNQ,2.014783
FANG,1.987556
CROX,1.940546
PLUG,1.933978
DISH,1.817836
SBNY,1.785343
ON,1.780504
FOXF,1.776011
PARA,1.761493
NVDA,1.736514
CIVI,1.724161
ZBRA,1.714828
LPX,1.698237
TPX,1.681645
PII,1.673349
OKE,1.667473
EXPE,1.66367
NUE,1.650881
AMD,1.648116
MTCH,1.608762
WBD,1.606982
MCHP,1.58797
AMAT,1.581057
MAR,1.578638
NXPI,1.576417
WDC,1.568268
AEIS,1.56412
ALB,1.562932
MOS,1.55617
C,1.554787
BBY,1.552558
VLO,1.55133
TER,1.538541
MELI,1.533702
EOG,1.519184
DKS,1.518147
LRCX,1.516764
ALGN,1.513999
TRMB,1.513307
ENPH,1.512616
TPR,1.506569
AX,1.499827
SEDG,1.498444
KFY,1.49637
CR,1.493259
STLD,1.486
PH,1.484272
BA,1.482198
QRVO,1.474593
AMRC,1.471482
UFPI,1.459384
ACHC,1.453854
ADSK,1.453854
AYI,1.445558
LAMR,1.432077
GS,1.424127
WAL,1.42289
EWBC,1.419633
PXD,1.418942
IQV,1.409609
TRIP,1.408572
KRG,1.408226
SNV,1.406984
AGCO,1.401659
MRVL,1.39993
FSLR,1.398548
PRU,1.393708
TDG,1.391634
BAC,1.389561
VICR,1.376425
NWSA,1.374006
EMR,1.366747
ULTA,1.361216
ENS,1.351659
KLAC,1.349809
CFG,1.348081
LULU,1.346007
CMG,1.341859
OLED,1.341168
OZK,1.339785
ADBE,1.336329
MS,1.335753
CMC,1.333218
HWC,1.332181
ITRI,1.330798
GLNCY,1.328828
SRC,1.32665
TEL,1.324576
EBAY,1.318354
WBS,1.318008
SWKS,1.316972
TECK,1.309966
PFG,1.30982
DIS,1.309713
AAPL,1.30833
OPCH,1.307169
MU,1.305565
LFUS,1.304873
ISRG,1.300034
MTG,1.298651
COP,1.294849
BLK,1.290356
PDCO,1.288973
FL,1.286208
KEY,1.268233
NFLX,1.261666
LBTYA,1.26132
LBTYK,1.26132
WIRE,1.26132
VECO,1.257172
DRI,1.256826
CMA,1.25
APH,1.247925
WDAY,1.246111
FITB,1.245765
SF,1.234358
HALO,1.226062
WTFC,1.224412
QCOM,1.223988
RF,1.218112
ACN,1.217421
META,1.209816
AXP,1.206705
POWI,1.204356
CSX,1.203249
LYB,1.200483
GE,1.198755
TECH,1.189077
AMZN,1.188385
INTU,1.184647
REG,1.184647
NTAP,1.183546
TSM,1.181354
WMB,1.179744
AN,1.178707
CRM,1.178015
SRCL,1.175941
LECO,1.175311
WFC,1.171102
IPG,1.16972
VWDRY,1.168449
ASML,1.168067
AMCX,1.1673
ABCB,1.165917
MAT,1.162806
ZD,1.158658
CATY,1.157621
ITW,1.154856
ADI,1.151054
SIEGY,1.149732
GWW,1.145523
AIT,1.143104
ANET,1.141375
CVX,1.136536
ZION,1.135153
FTNT,1.134462
PNFP,1.133425
PANW,1.133079
CHTR,1.131351
ILMN,1.13066
